Year,Month,Day,Hour,Minute,Second,SunLongitude,SunDistance,Zodiac,Daylight,MercuryLongitude,MercuryLatitude,MercuryDistance,VenusLongitude,VenusLatitude,VenusDistance,MarsLongitude,MarsLatitude,MarsDistance,JupiterLongitude,JupiterLatitude,JupiterDistance,SaturnLongitude,SaturnLatitude,SaturnDistance,UranusLongitude,UranusLatitude,UranusDistance,NeptuneLongitude,NeptuneLatitude,NeptuneDistance,PlutoLongitude,PlutoLatitude,PlutoDistance,MoonLongitude,MoonLatitude,MoonDistance,MoonPhase
2019,1,4,12,0,0,283.312507,0.983301,Capricorn,9.328464,268.399781,-0.272726,1.331401,236.466105,3.450894,0.659378,1.871971,-0.225360,1.288401,252.233084,0.628450,6.167899,281.529913,0.481112,11.025149,28.365689,-0.533188,19.586107,343.907621,-0.968701,30.406923,290.450022,-0.106638,34.683353,266.050185,2.681407,0.002658,342.737681
2019,1,4,18,0,0,283.567326,0.983302,Capricorn,9.331483,268.772484,-0.302308,1.333860,236.717677,3.450403,0.661279,2.040323,-0.219876,1.290517,252.284857,0.628339,6.165738,281.559485,0.480827,11.024998,28.365157,-0.533047,19.590258,343.913167,-0.968619,30.410700,290.458419,-0.107014,34.684048,269.121762,2.440866,0.002664,345.554437
2019,1,5,0,0,0,283.822125,0.983302,Capricorn,9.334557,269.145689,-0.331731,1.336284,236.969693,3.449741,0.663180,2.208699,-0.214410,1.292633,252.336573,0.628229,6.163565,281.589053,0.480542,11.024830,28.364684,-0.532906,19.594412,343.918739,-0.968537,30.414463,290.466821,-0.107391,34.684723,272.178639,2.194366,0.002670,348.356521
2019,1,5,6,0,0,284.076944,0.983304,Capricorn,9.337688,269.519390,-0.360994,1.338673,237.222147,3.448911,0.665081,2.377098,-0.208960,1.294750,252.388233,0.628120,6.161381,281.618619,0.480258,11.024646,28.364262,-0.532765,19.598572,343.924344,-0.968456,30.418222,290.475226,-0.107768,34.685379,275.221686,1.942644,0.002675,351.144747
2019,1,5,12,0,0,284.331724,0.983305,Capricorn,9.340874,269.893583,-0.390094,1.341027,237.475040,3.447914,0.666983,2.545522,-0.203526,1.296868,252.439838,0.628013,6.159184,281.648181,0.479975,11.024446,28.363890,-0.532624,19.602736,343.929977,-0.968374,30.421970,290.483633,-0.108145,34.686020,278.251797,1.686422,0.002681,353.920066
2019,1,5,18,0,0,284.586562,0.983307,Capricorn,9.344117,270.268265,-0.419029,1.343345,237.728362,3.446750,0.668884,2.713970,-0.198109,1.298987,252.491386,0.627906,6.156975,281.677741,0.479693,11.024229,28.363579,-0.532483,19.606905,343.935642,-0.968293,30.425709,290.492042,-0.108522,34.686638,281.269894,1.426417,0.002685,356.683341
2019,1,6,0,0,0,284.841342,0.983309,Capricorn,9.347415,270.643432,-0.447795,1.345629,237.982112,3.445421,0.670786,2.882440,-0.192708,1.301107,252.542878,0.627800,6.154755,281.707296,0.479411,11.023995,28.363317,-0.532341,19.611078,343.941335,-0.968213,30.429441,290.500457,-0.108899,34.687241,284.276909,1.163333,0.002690,359.435563
2019,1,6,6,0,0,285.096142,0.983312,Capricorn,9.350769,271.019081,-0.476392,1.347879,238.236292,3.443928,0.672688,3.050933,-0.187323,1.303227,252.594312,0.627696,6.152523,281.736847,0.479130,11.023746,28.363113,-0.532200,19.615255,343.947058,-0.968132,30.433161,290.508873,-0.109276,34.687824,287.273796,0.897867,0.002694,2.177657
2019,1,6,12,0,0,285.350961,0.983314,Capricorn,9.354179,271.395209,-0.504816,1.350093,238.490890,3.442271,0.674590,3.219449,-0.181955,1.305348,252.645687,0.627592,6.150280,281.766393,0.478850,11.023481,28.362963,-0.532059,19.619438,343.952811,-0.968052,30.436871,290.517292,-0.109653,34.688389,290.261519,0.630704,0.002698,4.910559
2019,1,6,18,0,0,285.605760,0.983317,Capricorn,9.357644,271.771812,-0.533066,1.352274,238.745907,3.440452,0.676492,3.387986,-0.176603,1.307470,252.697005,0.627490,6.148023,281.795935,0.478570,11.023199,28.362867,-0.531917,19.623625,343.958594,-0.967973,30.440573,290.525712,-0.110030,34.688938,293.241057,0.362519,0.002701,7.635303
2019,1,7,0,0,0,285.860540,0.983321,Capricorn,9.361165,272.148888,-0.561140,1.354420,239.001332,3.438472,0.678394,3.556546,-0.171267,1.309593,252.748265,0.627388,6.145756,281.825471,0.478291,11.022902,28.362825,-0.531776,19.627815,343.964404,-0.967893,30.444263,290.534136,-0.110407,34.689468,296.213385,0.093978,0.002705,10.352839
2019,1,7,6,0,0,286.115340,0.983325,Capricorn,9.364742,272.526436,-0.589034,1.356532,239.257173,3.436332,0.680296,3.725127,-0.165948,1.311716,252.799466,0.627288,6.143476,281.855003,0.478012,11.022586,28.362837,-0.531634,19.632010,343.970245,-0.967814,30.447943,290.542563,-0.110784,34.689976,299.179498,-0.174263,0.002707,13.064158
2019,1,7,12,0,0,286.370139,0.983329,Capricorn,9.368374,272.904452,-0.616747,1.358609,239.513414,3.434033,0.682198,3.893729,-0.160644,1.313840,252.850607,0.627189,6.141186,281.884529,0.477735,11.022254,28.362905,-0.531492,19.636208,343.976114,-0.967735,30.451616,290.550991,-0.111162,34.690472,302.140385,-0.441556,0.002709,15.770251
